"conflict_type","openalex_id","publication_year","study_country","title","source_container","doi","url","marine_terrestrial","species_common","mitigation_tested","mitigation_outcome_measured","outcome_direction","tier"
"crop damage","W3200123832",2021,"multiple North African","Ecological and Human Diet Value of Locusts in a Changing World","Agronomy","https://doi.org/10.3390/agronomy11091856","https://doi.org/10.3390/agronomy11091856","terrestrial",,"not stated","not stated","not stated","C_asserted_no_evidence"
"crop damage","W3183479500",2021,"Egypt","Economic losses caused by rodents in some types of maize fields at Farshout District, Qena Governorate, Egypt",,"https://doi.org/10.36811/ijpsh.2021.110031","https://doi.org/10.36811/ijpsh.2021.110031","terrestrial","rodents","no","no","not measured","A_named_country_corroborated"
"crop damage","W3134709212",2020,"multiple North African","Scaring Birds: The concept of the Scarecrow in Ancient Egypt","International Journal of Heritage, Tourism, and Hospitality","https://doi.org/10.21608/ijhth.2020.154143","https://doi.org/10.21608/ijhth.2020.154143","terrestrial","birds","yes","not stated","not stated","B_regional_corroborated"
"crop damage","W3003427061",2019,"Egypt","RODENT DAMAGE AND CONTROL IN WHEAT GROWING STAGES, SOHAG GOVERNORATE, EGYPT","Egyptian Journal of Agricultural Research","https://doi.org/10.21608/ejar.2019.68569","https://doi.org/10.21608/ejar.2019.68569",,"Norway rat","yes","yes","reduced conflict","A_named_country_corroborated"
"crop damage","W2976496276",2018,"Egypt","AN ESTIMATION OF BIRD DAMAGES ON SOME FIELD, VEGETABLE AND FRUIT CROPS AT SHARKIA GOVERNORATE, EGYPT","Zagazig Journal of Agricultural Research","https://doi.org/10.21608/zjar.2018.48571","https://doi.org/10.21608/zjar.2018.48571","terrestrial","hooded crow, house sparrow","no","no","not stated","A_named_country_corroborated"
"crop damage","W3024115241",2014,"multiple North African","PESTS ATTACKING POST-HARVEST SUGAR BEET ROOTS, AND THEIR ADVERSE EFFECTS ON SUGAR CONTENT","Journal of Plant Protection and Pathology /Journal of Plant Protection and Pathology","https://doi.org/10.21608/jppp.2014.87978","https://doi.org/10.21608/jppp.2014.87978","terrestrial","sugar beet","no","no","not stated","C_asserted_no_evidence"
"crop damage","W4411617346",2000,"multiple North African","10.51847/g9duHRt","Time to knit","https://doi.org/10.51847/g9duhrt","https://doi.org/10.51847/g9duhrt","terrestrial","roof Rat","not stated","not stated","not stated","B_regional_corroborated"
"disease transmission","W2808697371",2018,"Morocco","Geographical distribution of health indicators related to snake bites and envenomation in Morocco between 1999 and 2013","Epidemiology and Health","https://doi.org/10.4178/epih.e2018024","https://doi.org/10.4178/epih.e2018024",,"snake","not stated","not stated","not stated","A_named_country_corroborated"
"disease transmission","W2620939781",2017,"Morocco","A Century Spent Combating Rabies in Morocco (1911–2015): How Much Longer?","Frontiers in Veterinary Science","https://doi.org/10.3389/fvets.2017.00078","https://doi.org/10.3389/fvets.2017.00078","terrestrial","dog","yes","yes","mixed","A_named_country_corroborated"
"disease transmission","W2131901272",2015,"multiple North African","African Bats: Conservation in the time of Ebola","Therya","https://doi.org/10.12933/therya-15-244","https://doi.org/10.12933/therya-15-244","terrestrial","not stated","yes","yes","increased conflict","B_regional_corroborated"
"livestock depredation","W2899931711",2018,"Morocco","Communicating for conservation: circumventing conflict with communities over domestic dog ownership in north Morocco","European Journal of Wildlife Research","https://doi.org/10.1007/s10344-018-1230-x","https://doi.org/10.1007/s10344-018-1230-x","terrestrial","Barbary macaque","yes",,,"A_named_country_corroborated"
"not stated","309650787",2028,"multiple North African","Distribution of sea turtles and their anthropogenic threats: innovative approaches to improve conservation actions","Electronic Thesis and Dissertation Archive - Università di Pisa",,"309650787",,"sea turtles","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W7167666335",2026,"Tunisia","Assessing the Vulnerability and the Stock Status of the Bluntnose Sixgill Shark,  Hexanchus griseus  , in North‐Eastern Tunisia (Central Mediterranean) Using Data‐Limited Models","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.70416","https://doi.org/10.1002/aqc.70416","marine","Bluntnose Sixgill Shark","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W7172483144",2026,"multiple North African","Historical climatic and human settlement patterns leading up to the extinction of the Arabian leopard in the Sinai Peninsula","Scientific Reports","https://doi.org/10.1038/s41598-026-59368-z","https://doi.org/10.1038/s41598-026-59368-z","both","Arabian leopard","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W7154112871",2026,"multiple North African","Solving Ariadne’s thread in the blue crab invasion to turn it to a true paradigm of circular economy: eco-biological traits and valorization of by-products to enhance fisheries value, a scoping review","Frontiers in Marine Science","https://doi.org/10.3389/fmars.2026.1748819","https://doi.org/10.3389/fmars.2026.1748819","both","blue crab","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W7163334447",2026,"Egypt","Bayesian Growth Modeling and Length-Based Indicators: Stock Assessment of Nile Tilapia (Oreochromis niloticus) in Lake Nasser, Egypt","Biology","https://doi.org/10.3390/biology15110868","https://doi.org/10.3390/biology15110868","not stated","Nile Tilapia","no","no","not measured","A_named_country_corroborated"
"not stated","W4413922878",2025,"Egypt","Nile Crocodiles in Lake Nasser, Egypt, Are Found Close to Fishermen's Camps, Indicating Potential Conflicts","Ecology and Evolution","https://doi.org/10.1002/ece3.71970","https://doi.org/10.1002/ece3.71970","both","Nile crocodile","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4409958323",2025,"multiple North African","Socio-economic impacts and responses of the fishing industry and fishery managers to changes in small pelagic fish distribution and abundance","Reviews in Fish Biology and Fisheries","https://doi.org/10.1007/s11160-025-09949-4","https://doi.org/10.1007/s11160-025-09949-4","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4408273783",2025,"Egypt","Sustainability and avian biodiversity tensions in wastewater management in arid zones","Biological Conservation","https://doi.org/10.1016/j.biocon.2025.111046","https://doi.org/10.1016/j.biocon.2025.111046","terrestrial","Northern shoveler, barn swallow","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4414163724",2025,"multiple North African","Marine biotoxins in Mediterranean seafood: Environmental occurrence and food safety concerns","Ecotoxicology and Environmental Safety","https://doi.org/10.1016/j.ecoenv.2025.119032","https://doi.org/10.1016/j.ecoenv.2025.119032",,"not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4409624720",2025,"multiple North African","Mahi-mahi metacouplings: quantifying human–nature interactions in dolphinfish (Coryphaena hippurus) fisheries","Global Sustainability","https://doi.org/10.1017/sus.2025.3","https://doi.org/10.1017/sus.2025.3","marine","dolphinfish","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4406918266",2025,"Algeria","Impact of long-term cyanotoxin exposure on cattle: Biochemical, histological, and oxidative stress assessment","Veterinary World","https://doi.org/10.14202/vetworld.2025.189-201","https://doi.org/10.14202/vetworld.2025.189-201","not stated","not stated","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4407107407",2025,"Algeria","ASSESSING THE POPULATION PARAMETERS OF EUROPEAN ANCHOVY, ENGRAULIS ENCRASICOLUS (LINNAEUS, 1758) IN ALGERIAN EAST COAST (SOUTHWESTERN MEDITERRANEAN SEA)","Applied Ecology and Environmental Research","https://doi.org/10.15666/aeer/2301_13471363","https://doi.org/10.15666/aeer/2301_13471363","marine","Anchovies","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4414777589",2025,"multiple North African","GLOBAL AND LOCAL DRIVERS OF CORAL REEF DEGRADATION: KEY STRATEGIES FOR MITIGATING DAMAGE AND FOSTERING RESILIENCE","International Journal of Biological Innovations","https://doi.org/10.46505/ijbi.2025.7215","https://doi.org/10.46505/ijbi.2025.7215","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4412637076",2025,"multiple North African","Myths about Wildlife use for Medicinal Purposes",,"https://doi.org/10.47278/book.hh/2025.32","https://doi.org/10.47278/book.hh/2025.32","not stated","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4415743148",2025,"Tunisia","&lt;b&gt;Impact of light pollution on the success of loggerhead turtle nesting in Chebba, Tunisia&lt;/b&gt;","Open Veterinary Journal","https://doi.org/10.5455/ovj.2025.v15.i10.51","https://doi.org/10.5455/ovj.2025.v15.i10.51","both","loggerhead turtle","no","no","not measured","A_named_country_corroborated"
"not stated","W4411035654",2025,"Libya","&lt;b&gt;Artisanal fisher ecological knowledge with morphometric measurements of Angel Sharks form Libya, Central Mediterranean&lt;/b&gt;","Open Veterinary Journal","https://doi.org/10.5455/ovj.2025.v15.i5.23","https://doi.org/10.5455/ovj.2025.v15.i5.23","marine","Angel Sharks","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4390771181",2024,"multiple North African","Identifying the foraging grounds of the new loggerhead turtle nesters in the western Mediterranean","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.4059","https://doi.org/10.1002/aqc.4059",,"sea turtle","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4400337172",2024,"multiple North African","Conservation and management of chondrichthyans in the Mediterranean Sea: gaps, overlaps, inconsistencies, and the way forward","Reviews in Fish Biology and Fisheries","https://doi.org/10.1007/s11160-024-09857-z","https://doi.org/10.1007/s11160-024-09857-z","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4402397723",2024,"multiple North African","Raising the awareness of fishing professionals about the conservation of species caught incidentally in the Moroccan Mediterranean Sea","Discover Conservation","https://doi.org/10.1007/s44353-024-00009-9","https://doi.org/10.1007/s44353-024-00009-9","marine","not stated","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4393971019",2024,"multiple North African","Tracking data highlight the importance of human-induced mortality for large migratory birds at a flyway scale","Biological Conservation","https://doi.org/10.1016/j.biocon.2024.110525","https://doi.org/10.1016/j.biocon.2024.110525","not stated","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4401129331",2024,"Tunisia","Ghost Gear in the Gulf of Gabès (Tunisia): An Urgent Need for a Conservation Code of Conduct","Preprints.org","https://doi.org/10.20944/preprints202407.2113.v1","https://doi.org/10.20944/preprints202407.2113.v1","marine","not stated","yes","not stated","reduced conflict","A_named_country_corroborated"
"not stated","W4405163001",2024,"Egypt","Crucial Conservation of Birds and Bats: Providing Ecosystem Services in Egypt","Journal of Plant and Food Sciences","https://doi.org/10.21608/jpfs.2024.280949.1015","https://doi.org/10.21608/jpfs.2024.280949.1015","terrestrial",,"not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4391690017",2024,"multiple North African","On the genetic diversity of Chimaera monstrosa Linnaeus, 1758 (Chordata, Chondrichthyes, Holocephali) in the Mediterranean Sea","Frontiers in Fish Science","https://doi.org/10.3389/frish.2024.1354791","https://doi.org/10.3389/frish.2024.1354791","both","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4399809350",2024,"multiple North African","Preliminary Insights on the Habitat Use and Vertical Movements of the Pelagic Stingray (Pteroplatytrygon violacea) in the Western Mediterranean Sea","Fishes","https://doi.org/10.3390/fishes9060238","https://doi.org/10.3390/fishes9060238","marine","pelagic stingray","no","not stated","not stated","C_asserted_no_evidence"
"not stated","W4402750361",2024,"multiple North African","Climate Warming and Mismanagement Drive the Shift of Fish Communities in the Wadi El-Rayan Arid Lakes","Water","https://doi.org/10.3390/w16182685","https://doi.org/10.3390/w16182685",,"Nile tilapia, mullet, and grass carp","no","no","not measured","B_regional_corroborated"
"not stated","W4414984302",2024,"multiple North African","Blue Carbon and Food Security: A Systematic Review of Mangrove Ecosystem Services for SDG 13 (Climate Action) and SDG 2 (Zero Hunger)","Assyfa Journal of Farming and Agriculture","https://doi.org/10.61650/ajfa.v2i1.871","https://doi.org/10.61650/ajfa.v2i1.871","both","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4388510764",2023,"multiple North African","African Buffalo and Colonial Cattle: Is ‘Systems Change’ the Best Future for Farming and Nature in Africa?","Cambridge University Press eBooks","https://doi.org/10.1017/9781009006828.017","https://doi.org/10.1017/9781009006828.017","not stated","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4385290138",2023,"multiple North African","The natural history of lions in North Africa and the relevance of their depiction in the “Lions Attacking a Dromedary” diorama","Curator The Museum Journal","https://doi.org/10.1111/cura.12564","https://doi.org/10.1111/cura.12564","terrestrial",,"not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4384820034",2023,"Morocco","Snakes and Souks: Zoonotic pathogens associated to reptiles in the Marrakech markets, Morocco","PLoS neglected tropical diseases","https://doi.org/10.1371/journal.pntd.0011431","https://doi.org/10.1371/journal.pntd.0011431","terrestrial",,"not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4367042407",2023,"multiple North African","Social perception of mesocarnivores within hunting areas differs from actual species abundance","PLoS ONE","https://doi.org/10.1371/journal.pone.0283882","https://doi.org/10.1371/journal.pone.0283882","terrestrial","red fox, stone marten, Eurasian badger, common genet, Egyptian mongoose, European rabbit, Iberian hare, red-legged partridge","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4391378766",2023,"Algeria","Is there an effect of electromagnetic waves from base stations on the breeding success of Ciconia ciconia ciconia in Algeria?","Biosystems Diversity","https://doi.org/10.15421/012358","https://doi.org/10.15421/012358",,"white stork","no","no","not stated","A_named_country_corroborated"
"not stated","W4361010327",2023,"Egypt","Age and Growth of the Freshwater Pufferfish Tetraodon lineatus Linnaeus 1758 from Lake Nasser, Egypt","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2023.292280","https://doi.org/10.21608/ejabf.2023.292280","not stated","freshwater puffer fish","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4362683912",2023,"multiple North African","Propolis, bee venom and Beauveria bassiana toxicity with field application; Controlling the terrestrial gastropod Monacha cartusiana","Journal of Entomology and Zoology Studies","https://doi.org/10.22271/j.ento.2023.v11.i1a.9147","https://doi.org/10.22271/j.ento.2023.v11.i1a.9147","terrestrial","brown land snail","no","no","not stated","C_asserted_no_evidence"
"not stated","W4379411076",2023,"multiple North African","Drivers of Small-Scale Fishers’ Acceptability across Mediterranean Marine Protected Areas at Different Stages of Establishment","Sustainability","https://doi.org/10.3390/su15119138","https://doi.org/10.3390/su15119138","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4390757936",2023,"multiple North African","Threats and Mitigation","Vulture News","https://doi.org/10.4314/vulnew.v83a1.6","https://doi.org/10.4314/vulnew.v83a1.6","not stated","not stated","yes","yes","not measured","C_asserted_no_evidence"
"not stated","W4382585571",2023,"multiple North African","First data about movements and threats of Rüppell's Vultures (Gyps rueppellii) tagged in Morocco: an international and multi-institutional study.","Vulture News","https://doi.org/10.4314/vulnew.v83i.6","https://doi.org/10.4314/vulnew.v83i.6","both","Rüppell's Vultures","no","not stated","not measured","B_regional_corroborated"
"not stated","W4387024935",2023,"multiple North African","Injuries in cetaceans in the Strait of Gibraltar: an update for the period 2016-2020","The journal of cetacean research and management. Special issue","https://doi.org/10.47536/jcrm.v24i1.397","https://doi.org/10.47536/jcrm.v24i1.397","not stated","not stated","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4386830300",2023,"multiple North African","Rethinking Marine Resource Management and the Livelihoods of Artisanal Fishers","Tanzania Journal of Sociology","https://doi.org/10.56279/tajoso.v9i1.123","https://doi.org/10.56279/tajoso.v9i1.123","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4220771849",2022,"multiple North African","Human pressures constrain Eurasian otter occurrence in semiarid Northern Africa","Biodiversity and Conservation","https://doi.org/10.1007/s10531-022-02405-w","https://doi.org/10.1007/s10531-022-02405-w","both","otter","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4283067969",2022,"multiple North African","Assessing the use of marine protected areas by loggerhead sea turtles (Caretta caretta) tracked from the western Mediterranean","Global Ecology and Conservation","https://doi.org/10.1016/j.gecco.2022.e02196","https://doi.org/10.1016/j.gecco.2022.e02196","marine","loggerhead sea turtles","no","no","not measured","B_regional_corroborated"
"not stated","W4290786637",2022,"multiple North African","Small-scale fisheries catch more threatened elasmobranchs inside partially protected areas than in unprotected areas","Nature Communications","https://doi.org/10.1038/s41467-022-32035-3","https://doi.org/10.1038/s41467-022-32035-3","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4306702031",2022,"Morocco","A Framework Payment for ecosystem services to reconstitute forest areas closed to grazing in the Ifrane National Park (Morocco).","IOP Conference Series Earth and Environmental Science","https://doi.org/10.1088/1755-1315/1090/1/012006","https://doi.org/10.1088/1755-1315/1090/1/012006","terrestrial","not stated","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4223523542",2022,"multiple North African","Hotspots in the grid: Avian sensitivity and vulnerability to collision risk from energy infrastructure interactions in Europe and North Africa","Journal of Applied Ecology","https://doi.org/10.1111/1365-2664.14160","https://doi.org/10.1111/1365-2664.14160","not stated","Lesser Black-backed Gull","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4303646489",2022,"Egypt","Age, Growth and mortality of the rabbit fish Siganus rivulatus (Forsskål 1775) from the Egyptian Mediterranean coast off Alexandria, Egypt","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2022.264477","https://doi.org/10.21608/ejabf.2022.264477","marine","rabbit fish","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4303646466",2022,"Egypt","Herbivorous Reef Fishes of South Sinai Marine Protected Areas (Gulf of Aqaba, Egypt): Influence of Fisheries Management and Protection Status","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2022.264541","https://doi.org/10.21608/ejabf.2022.264541","marine","not stated","yes","yes","reduced conflict","A_named_country_corroborated"
"not stated","W4281756481",2022,"multiple North African","Using Fishermen’s Knowledge and GIS to Identify Fishing Grounds, Gears and Species in the Projected Marine Protected Area ‘Jabal Moussa’","Journal of sustainability and environmental management","https://doi.org/10.3126/josem.v1i2.45346","https://doi.org/10.3126/josem.v1i2.45346","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4303021564",2022,"Morocco","Monitoring dryland trees with remote sensing. Part B: Combining tree cover and plant architecture data to assess degradation and recovery of Argania spinosa woodlands of South Morocco","Frontiers in Environmental Science","https://doi.org/10.3389/fenvs.2022.896703","https://doi.org/10.3389/fenvs.2022.896703","both","Argania spinosa","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W4303685494",2022,"multiple North African","The Blue Swimming Crab Portunus segnis in the Mediterranean Sea: Invasion Paths, Impacts and Management Measures","Biology","https://doi.org/10.3390/biology11101473","https://doi.org/10.3390/biology11101473",,"Blue Swimming Crab","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4303457477",2022,"multiple North African","IPBES Sustainable Use of Wild Species Assessment - Chapter 3. Status of and trends in the use of wild species and its implications for wild species, the environment and people","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.7157829","https://doi.org/10.5281/zenodo.7157829","not stated","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4309601661",2022,"multiple North African","IPBES Sustainable Use of Wild Species Assessment - Chapter 4. The drivers of the sustainable use of wild species","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.7346780","https://doi.org/10.5281/zenodo.7346780","not stated","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4323066251",2022,"multiple North African","IPBES Sustainable Use of Wild Species Assessment - Chapter 4. The drivers of the sustainable use of wild species","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.7695770","https://doi.org/10.5281/zenodo.7695770","not stated","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4406349403",2022,"multiple North African","Guidelines for the management of cetacean watching activities in the ACCOBAMS area",,"https://doi.org/10.70978/cggi7445","https://doi.org/10.70978/cggi7445","marine","whale","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W3185015889",2021,"multiple North African","Decolonizing Primate Conservation Practice: A Case Study from North Morocco","International Journal of Primatology","https://doi.org/10.1007/s10764-021-00228-0","https://doi.org/10.1007/s10764-021-00228-0","terrestrial","Barbary macaque","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W3200894589",2021,"multiple North African","Herbivorous fish of Sinai marine protected areas (Gulf of Aqaba): Structure baseline for potential thermal stress impact management","bioRxiv (Cold Spring Harbor Laboratory)","https://doi.org/10.1101/2021.09.17.460804","https://doi.org/10.1101/2021.09.17.460804","marine","not stated","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W3172003661",2021,"Morocco","A management plan for a declining population of the Souss valley tortoise in an arid steppe-land of west-central Morocco","Basic and Applied Herpetology","https://doi.org/10.11160/bah.183","https://doi.org/10.11160/bah.183","terrestrial","tortoises","yes","yes","reduced conflict","A_named_country_corroborated"
"not stated","W3129957199",2021,"multiple North African","Don't kill your allies : The impact of chemical and biological locust and grasshopper control on birds",,"https://doi.org/10.18174/535131","https://doi.org/10.18174/535131","not stated","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4205402711",2021,"multiple North African","Traditional fishery of Dolphinfish (Coryphaena hippurus) in the Gulf of Hammamet, Tunisia: implications for management of the entire Mediterranean fishery","Journal of Chemical Biological and Physical Sciences","https://doi.org/10.24214/jcbps.b.11.1.13751","https://doi.org/10.24214/jcbps.b.11.1.13751","marine","dolphinfish","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W3196772912",2021,"Morocco","The Last-Surviving Moroccan Dorcas Gazelle (Gazella dorcas massaesyla) Viability Analysis [M’Sabih Talaa Reserve, Morocco]","International Journal of Zoological Investigations","https://doi.org/10.33745/ijzi.2021.v07i01.017","https://doi.org/10.33745/ijzi.2021.v07i01.017","terrestrial","MT gazelle","yes","yes","reduced conflict","A_named_country_corroborated"
"not stated","W3210000181",2021,"Tunisia","Status of Chinese Carp Fisheries in Tunisian Freshwater Reservoirs: Threats and Opportunities","Journal of Biomedical Research & Environmental Sciences","https://doi.org/10.37871/jbres1336","https://doi.org/10.37871/jbres1336","both","Chinese carp","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W3188375666",2021,"multiple North African","Economic costs of invasive alien species in the Mediterranean basin","NeoBiota","https://doi.org/10.3897/neobiota.67.58926","https://doi.org/10.3897/neobiota.67.58926","not stated","not stated","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4286380219",2021,"multiple North African","D7.9 Review of species-specific collision risks for sea birds","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.6867543","https://doi.org/10.5281/zenodo.6867543","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W3108367984",2020,"multiple North African","The northern bald ibis Geronticus eremita: history, current status and future perspectives","Oryx","https://doi.org/10.1017/s0030605320000198","https://doi.org/10.1017/s0030605320000198","not stated","northern bald ibis","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W3047050104",2020,"multiple North African","Conservation Amid COVID-19 Pandemic: Ecotourism Collapse Threatens Communities and Wildlife in Morocco","E3S Web of Conferences","https://doi.org/10.1051/e3sconf/202018301003","https://doi.org/10.1051/e3sconf/202018301003","not stated","not stated","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W3108294470",2020,"multiple North African","How human intervention and climate change shaped the fate of the Northern Bald Ibis from ancient Egypt to the presence: an interdisciplinary approach to extinction and recovery of an iconic bird species","bioRxiv (Cold Spring Harbor Laboratory)","https://doi.org/10.1101/2020.11.25.397570","https://doi.org/10.1101/2020.11.25.397570","not stated","Northern Bald Ibis","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W3090749294",2020,"multiple North African","Status of Sepia officinalis and 19 Main Fisheries Species Caught from Southeast Mediterranean Sea, North Sinai, Egypt.","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2020.116577","https://doi.org/10.21608/ejabf.2020.116577","marine","common cuttlefish","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W3017956184",2020,"multiple North African","Social-Environmental Analysis for the Management of Coastal Lagoons in North Africa","Frontiers in Environmental Science","https://doi.org/10.3389/fenvs.2020.00037","https://doi.org/10.3389/fenvs.2020.00037","both","not stated","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W3081500063",2020,"multiple North African","A Landscape without Nonhuman Primates? The Case of the Barbary Macaque, Macaca sylvanus, (Linnaeus, 1758) and Its Interaction with Humans throughout Recorded Time","Humanities","https://doi.org/10.3390/h9030092","https://doi.org/10.3390/h9030092","not stated","Barbary Macaque","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W2991073745",2019,"multiple North African","Effects of fishing practice changes on pelagic shark longline captures in the Gulf of Gabes, Tunisia","Aquatic Conservation Marine and Freshwater Ecosystems","https://doi.org/10.1002/aqc.3226","https://doi.org/10.1002/aqc.3226","marine","sandbar shark","yes","no","not measured","B_regional_corroborated"
"not stated","W2908415939",2019,"multiple North African","History of Ecological Sciences, Part 61C: Marine Biogeography, 1690s–1940s","Bulletin of the Ecological Society of America","https://doi.org/10.1002/bes2.1486","https://doi.org/10.1002/bes2.1486","both","oceanic birds, seal family, sea turtles, iguana, crabs, marine snakes","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W2969873458",2019,"Egypt","Population ecology and the management of whale watching operations on a data‐deficient dolphin population","Ecology and Evolution","https://doi.org/10.1002/ece3.5565","https://doi.org/10.1002/ece3.5565","marine","spinner dolphins","no","no","not measured","A_named_country_corroborated"
"not stated","W2943305201",2019,"Morocco","Interpreting People’s Behavior Toward Primates Using Qualitative Data: a Case Study from North Morocco","International Journal of Primatology","https://doi.org/10.1007/s10764-019-00087-w","https://doi.org/10.1007/s10764-019-00087-w","terrestrial","Barbary macaque","not stated","not stated","not stated","A_named_country_corroborated"
"not stated","W2969783162",2019,"multiple North African","Shark pelagic longline fishery in the Gulf of Gabes: Inter-decadal inspection reveals management needs","Mediterranean Marine Science","https://doi.org/10.12681/mms.18862","https://doi.org/10.12681/mms.18862","marine","not stated","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W4288349131",2019,"multiple North African","The shifting distribution of Mediterranean fishes: a spatio-temporal assessment based on Local Ecological Knowledge.","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.3142266","https://doi.org/10.5281/zenodo.3142266","marine","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W4245410401",2019,"multiple North African","Ecology of Caracals and Their Distribution in Africa: A Review Paper","Journal of Biology Agriculture and Healthcare","https://doi.org/10.7176/jbah/9-13-05","https://doi.org/10.7176/jbah/9-13-05","not stated","caracal","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W2954627580",2019,"multiple North African","Water Hyacinth (Eichhornia crassipes) Biology and Its Impacts on Ecosystem, Biodiversity, Economy and Human Well-being",,"https://doi.org/10.7176/jnsr/9-12-04","https://doi.org/10.7176/jnsr/9-12-04","not stated","Water Hyacinth","not stated","not stated","not stated","B_regional_corroborated"
"not stated","W2796022831",2018,"multiple North African","Race, then and now: 1918 revisited","American Journal of Physical Anthropology","https://doi.org/10.1002/ajpa.23417","https://doi.org/10.1002/ajpa.23417","not stated","not stated","not stated","not stated","not stated","C_asserted_no_evidence"
"not stated","W2801429878",2018,"multiple North African","Assessing the applicability of stable isotope analysis to determine the contribution of landfills to vultures’ diet","PLoS ONE","https://doi.org/10.1371/journal.pone.0196044","https://doi.org/10.1371/journal.pone.0196044","terrestrial","Egyptian Vulture","no","no","not stated","B_regional_corroborated"
