"n","authors_formatted","authors_raw","publication_year","title","source_container","doi","url","study_country","conflict_type","marine_terrestrial","species_common","openalex_id","tier","metadata_flag"
61,"Petitguyot, M., Bearzi, G., Hurk, Y. v. d., Fuentes, M. T. & Pierce, G. J.","Marie Petitguyot; Giovanni Bearzi; Youri van den Hurk; Marisa Tejedor Fuentes; Graham J. Pierce",2024,"Intentional Killings and Culling of Small Cetaceans due to Perceived Competition with Fisheries in the Mediterranean Sea and Northeast Atlantic between the Eighteenth and Twentieth Centuries",,"https://doi.org/10.1201/9781003477518-2","https://doi.org/10.1201/9781003477518-2","multiple North African","competition for resources","marine","dolphins","W4402276370","B_regional_corroborated",""
62,"Carugati, L. et al.","Laura Carugati; Alice Cappelletti; Riccardo Melis; Simone Di Crescenzo; Andrea Bellodi; Anna Soler‐Membrives; Maria Cristina Follesa; Rita Cannas",2024,"On the genetic diversity of Chimaera monstrosa Linnaeus, 1758 (Chordata, Chondrichthyes, Holocephali) in the Mediterranean Sea","Frontiers in Fish Science","https://doi.org/10.3389/frish.2024.1354791","https://doi.org/10.3389/frish.2024.1354791","multiple North African","not stated","both","not stated","W4391690017","C_asserted_no_evidence",""
63,"Poisson, F., Ellis, J. R. & Phillips, S. R. M.","François Poisson; Jim R. Ellis; Sophy R. McCully Phillips",2024,"Preliminary Insights on the Habitat Use and Vertical Movements of Pelagic Stingray (Pteroplatytrygon violacea) in the Western Mediterranean Sea","Preprints.org","https://doi.org/10.20944/preprints202405.2055.v1","https://doi.org/10.20944/preprints202405.2055.v1","multiple North African","bycatch","marine","Pelagic Stingray","W4399241889","C_asserted_no_evidence",""
64,"Poisson, F., Ellis, J. R. & Phillips, S. R. M.","François Poisson; Jim R. Ellis; Sophy R. McCully Phillips",2024,"Preliminary Insights on the Habitat Use and Vertical Movements of the Pelagic Stingray (Pteroplatytrygon violacea) in the Western Mediterranean Sea","Fishes","https://doi.org/10.3390/fishes9060238","https://doi.org/10.3390/fishes9060238","multiple North African","not stated","marine","pelagic stingray","W4399809350","C_asserted_no_evidence",""
65,"Keznine, M., Mghili, B., DeBeer, J. & Aksissou, M.","Mohamed Keznine; Bilal Mghili; John DeBeer; Mustapha Aksissou",2024,"Raising the awareness of fishing professionals about the conservation of species caught incidentally in the Moroccan Mediterranean Sea","Discover Conservation","https://doi.org/10.1007/s44353-024-00009-9","https://doi.org/10.1007/s44353-024-00009-9","multiple North African","not stated","marine","not stated","W4402397723","B_regional_corroborated",""
66,"Mohammad, A., Ali, A. & Chammemm, M.","Abdulkarim Mohammad; Aqeeleh Ali; Mohsen Chammemm",2024,"The Most Effective Methods Used to Control Mole Rats, Spalax ehrenbergi, on Benghazi Plain Project in Libya","Egyptian Academic Journal of Biological Sciences F Toxicology & Pest Control","https://doi.org/10.21608/eajbsf.2024.351179","https://doi.org/10.21608/eajbsf.2024.351179","Libya","crop damage","terrestrial","mole rats","W4395694977","A_named_country_corroborated",""
67,"Arraf, S. E. et al.","S. El Arraf; Mohammed Malouli Idrisi; Paolo Carpentieri; Maryam El Bakali; Abid Nourredine; Mohammed Bakkali",2024,"The bycatch estimate of threatened marine megavertebrates in Moroccan fleets operating in the Mediterranean Coast","E3S Web of Conferences","https://doi.org/10.1051/e3sconf/202450201001","https://doi.org/10.1051/e3sconf/202450201001","Morocco","bycatch","marine","seabirds, sea turtles, seals, marine mammals, sharks and rays, common dolphins","W4392665905","A_named_country_corroborated",""
68,"Bara, M.","Mouslim Bara",2024,"The future of the barbary sheep and the dorcas gazelle populations in Algerian Sahara: On the brink of extinction?","Animal Conservation","https://doi.org/10.1111/acv.13010","https://doi.org/10.1111/acv.13010","Algeria","persecution or retaliatory killing","terrestrial","barbary sheep, dorcas gazelle","W4405400421","A_named_country_corroborated",""
69,"Charkaoui, A., Jbilou, R., Annaz, H. & Rharrabe, K.","Achraf Charkaoui; Rachid Jbilou; Houssam Annaz; Kacem Rharrabe",2024,"Toxicity, antifeedant and repellent activities of five essential oils on adult Cassida vittata Vill. (Coleoptera: Chrysomelidae)","Journal of Plant Protection Research","https://doi.org/10.24425/jppr.2024.151820","https://doi.org/10.24425/jppr.2024.151820","Morocco","crop damage","terrestrial","Cassida vittata","W4406218147","A_named_country_corroborated",""
70,"Serratosa, J. et al.","Juan Serratosa; Steffen Oppel; Shay Rotics; Andrea Santangeli; Stuart H. M. Butchart; Luis Santiago Cano; José Luis Tellerı́a; Ryno Kemp; Aaron Nicholas; Aigars Kalvāns; Aitor Galarza; Aldina M. A. Franco; Alessandro Andreotti; Alexander N. G. Kirschel; Alex Ngari; Álvaro Soutullo; Ana Bermejo; André Botha; Andrea Ferri; Angelos Evangelidis; Anna Cenerini; Anton Stamenov; Antonio Hernández‐Matías; Arianna Aradis; Atanas Grozdanov; Beneharo Rodríguez; Çağan H. Şekercioğlu; Catuxa Cerecedo-Iglesias; Christina Kassara; Christos Barboutis; Claire Bracebridge; Clara García‐Ripollés; Corinne J. Kendall; Damijan Denac; Dana G. Schabo; David R. Barber; Dimitar Popov; Dobromir Dobrev; Egidio Mallìa; Elena Kmetova–Biro; Ernesto Álvarez; Evan R. Buechley; Evgeny A. Bragin; Fabrizio Cordischi; Fadzai M. Zengeya; Flavio Monti; François Mougeot; Gareth Tate; Georgi Stoyanov; Giacomo Dell’Omo; Giuseppe Lucia; Gradimir Gradev; Guido Ceccolini; Guilad Friedemann; Hans‐Günther Bauer; Holger Kolberg; Hristo Peshev; Inês Catry; Ingar Jostein Øien; Isidoro Carbonell Alanís; Ivan Literák; Ivan Pokrovsky; Ivar Ojaste; Jan Eivind Østnes; Javier de la Puente; Joan Real; João L. Guilherme; José Carlos González; José María Fernández-García; Juan Antonio Gil; Julien Terraube; Karel Poprach; Karen Aghababyan; Katharina Klein; Keith L. Bildstein; Kerri Wolter; Kjell Janssens; Kyle D. Kittelberger; Lindy J. Thompson; Mansoor H. AlJahdhami; Manuel Bendala Galán; Marcin Tobółka; Mario Posillico; Mario Cipollone; Marion Gschweng; Māris Strazds; Mark Boorman; Mark Zvidzai; Marta Acácio; Marta Romero; Martin Wikelski; Matthias Schmidt; Maurizio Sarà; Michael McGrady; Mindaugas Dagys; Monique MacKenzie; Muna Al Taq; Msafiri P. Mgumba; Munir Z. Virani; Nicolaos I. Kassinis",2024,"Tracking data highlight the importance of human-induced mortality for large migratory birds at a flyway scale","Biological Conservation","https://doi.org/10.1016/j.biocon.2024.110525","https://doi.org/10.1016/j.biocon.2024.110525","multiple North African","not stated","not stated","not stated","W4393971019","C_asserted_no_evidence",""
71,"Kock, R. et al.","Richard Kock; R G Bengis; Fekadu Shiferaw; Francis Gakuya; Daniel Mdetele; H.H.T. Prins; Alexandre Caron; Michael D. Kock",2023,"African Buffalo and Colonial Cattle: Is ‘Systems Change’ the Best Future for Farming and Nature in Africa?","Cambridge University Press eBooks","https://doi.org/10.1017/9781009006828.017","https://doi.org/10.1017/9781009006828.017","multiple North African","not stated","not stated","not stated","W4388510764","C_asserted_no_evidence",""
72,"al., A. A. A. A. e.","Asmaa A. A. Ahmed et al.",2023,"Age and Growth of the Freshwater Pufferfish Tetraodon lineatus Linnaeus 1758 from Lake Nasser, Egypt","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2023.292280","https://doi.org/10.21608/ejabf.2023.292280","Egypt","not stated","not stated","freshwater puffer fish","W4361010327","A_named_country_corroborated",""
73,"Neves, E. et al.","Elisa Neves; Dominique Vallet; Sidi Imad Cherkaoui; Zouhair Amhaouch; Coline Duperron; Nelly Ménard; Pascaline Le Gouar",2023,"Behavioral adjustments of endangered Barbary macaques (Macaca sylvanus) living at the edge of an agricultural landscape in Morocco","American Journal of Primatology","https://doi.org/10.1002/ajp.23545","https://doi.org/10.1002/ajp.23545","Morocco","other","not stated","macaques","W4386046441","A_named_country_corroborated",""
74,"Marzo, D. et al.","Daniela Marzo; Iacopo Cavallini; Luisa Scaccia; Paolo Guidetti; Antonio Franco; Antonio Calò; Federico Niccolini",2023,"Drivers of Small-Scale Fishers’ Acceptability across Mediterranean Marine Protected Areas at Different Stages of Establishment","Sustainability","https://doi.org/10.3390/su15119138","https://doi.org/10.3390/su15119138","multiple North African","not stated","marine","not stated","W4379411076","C_asserted_no_evidence",""
75,"Keznine, M., Giovos, I., Mghili, B., Mabruk, S. A. & Aksissou, M.","Mohamed Keznine; Ioannis Giovos; Bilal Mghili; Sara Al Mabruk; Mustapha Aksissou",2023,"Elasmobranch Bycatch in a bottom trawl fishery at Al Hoceima Port in Morocco (Mediterranean Sea)","Research Square","https://doi.org/10.21203/rs.3.rs-3063601/v1","https://doi.org/10.21203/rs.3.rs-3063601/v1","multiple North African",,"marine",,"W4382049684","B_regional_corroborated",""
76,"Garrido, J. R. et al.","José Rafael Garrido; Rachid El Khamlichi; Zouhair Amhaouch; Justo Martín; Juan José Iglesias‐Lebrija; Ernesto Álvarez; Virginia Moraleda; Miguel Ferrer; Carlos Florencio; Iñigo Fajardo; José Ramón Benítez; Jesús Bautista; Helena Clavero; Catherine Numa",2023,"First data about movements and threats of Rüppell's Vultures (Gyps rueppellii) tagged in Morocco: an international and multi-institutional study.","Vulture News","https://doi.org/10.4314/vulnew.v83i.6","https://doi.org/10.4314/vulnew.v83i.6","multiple North African","not stated","both","Rüppell's Vultures","W4382585571","B_regional_corroborated",""
77,"Louhichi, M., Girard, A. & Jribi, I.","Maissa Louhichi; Alexandre Girard; Imed Jribi",2023,"Fishermen Interviews: A Cost-Effective Tool for Evaluating the Impact of Fisheries on Vulnerable Sea Turtles in Tunisia and Identifying Levers of Mitigation","Animals","https://doi.org/10.3390/ani13091535","https://doi.org/10.3390/ani13091535","Tunisia","bycatch","marine","sea turtle","W4376631244","A_named_country_corroborated",""
78,"Hanninger, E. F., Selling, J., Heyer, K. & Burkhardt‐Holm, P.","Eva-Maria Franziska Hanninger; Jörn Selling; Katharina Heyer; Patricia Burkhardt‐Holm",2023,"Injuries in cetaceans in the Strait of Gibraltar: an update for the period 2016-2020","The journal of cetacean research and management. Special issue","https://doi.org/10.47536/jcrm.v24i1.397","https://doi.org/10.47536/jcrm.v24i1.397","multiple North African","not stated","not stated","not stated","W4387024935","B_regional_corroborated",""
79,"Sakraoui, D., Ziane, N., Ghalem, R., Boukheroufa, M. & Habbachi, W.","D. Sakraoui; N. Ziane; R. Ghalem; Mehdi Boukheroufa; W. Habbachi",2023,"Is there an effect of electromagnetic waves from base stations on the breeding success of Ciconia ciconia ciconia in Algeria?","Biosystems Diversity","https://doi.org/10.15421/012358","https://doi.org/10.15421/012358","Algeria","not stated",,"white stork","W4391378766","A_named_country_corroborated",""
80,"Shakman, E. et al.","Esmail Shakman; Aisha Siafenasar; Khaled Etayeb; Ali Shefern; Abdalaha Elmgwashi; Mohamed Al Hajaji; Nauroz bek Benghazi; Abdalha ben Abdalha; Mehdi Aïssi; Fabrizio Serena",2023,"National Inventory and status of Chondrichthyes in the South Mediterranean Sea (Libyan Coast)","BIODIVERSITY JOURNAL","https://doi.org/10.31396/biodiv.jour.2023.14.3.459.480","https://doi.org/10.31396/biodiv.jour.2023.14.3.459.480","multiple North African","bycatch","marine","sharks","W4387645544","B_regional_corroborated",""
81,"Ali, M. A., Atta, D. A. A. E. & Ayyad, M. A.","Mona A. Ali; Doaa A Abou El Atta; M. A. Ayyad",2023,"Propolis, bee venom and Beauveria bassiana toxicity with field application; Controlling the terrestrial gastropod Monacha cartusiana","Journal of Entomology and Zoology Studies","https://doi.org/10.22271/j.ento.2023.v11.i1a.9147","https://doi.org/10.22271/j.ento.2023.v11.i1a.9147","multiple North African","not stated","terrestrial","brown land snail","W4362683912","C_asserted_no_evidence",""
82,"Pierantonio, N., Panigada, S. & Lauriano, G.","Nino Pierantonio; Simone Panigada; Giancarlo Lauriano",2023,"Quantifying Abundance and Mapping Distribution of Loggerhead Turtles in the Mediterranean Sea Using Aerial Surveys: Implications for Conservation","Diversity","https://doi.org/10.3390/d15121159","https://doi.org/10.3390/d15121159","multiple North African","bycatch","marine","Loggerhead Turtles","W4388858561","B_regional_corroborated",""
83,"Kitunda, N. R.","Nassoro Rajab Kitunda",2023,"Rethinking Marine Resource Management and the Livelihoods of Artisanal Fishers","Tanzania Journal of Sociology","https://doi.org/10.56279/tajoso.v9i1.123","https://doi.org/10.56279/tajoso.v9i1.123","multiple North African","not stated","marine","not stated","W4386830300","C_asserted_no_evidence",""
84,"Mendoza‐Roldan, J. A. et al.","Jairo Alfonso Mendoza‐Roldan; Viviane Noll Louzada-Flores; Nouha Lekouch; Intissar Khouchfi; Giada Annoscia; Andrea Zatelli; Frédéric Beugnet; Julia Walochnik; Domenico Otranto",2023,"Snakes and Souks: Zoonotic pathogens associated to reptiles in the Marrakech markets, Morocco","PLoS neglected tropical diseases","https://doi.org/10.1371/journal.pntd.0011431","https://doi.org/10.1371/journal.pntd.0011431","Morocco","not stated","terrestrial",,"W4384820034","A_named_country_corroborated",""
85,"Suárez‐Tangil, B. D. & Luna, Á.","Bruno D. Suárez‐Tangil; Álvaro Luna",2023,"Social perception of mesocarnivores within hunting areas differs from actual species abundance","PLoS ONE","https://doi.org/10.1371/journal.pone.0283882","https://doi.org/10.1371/journal.pone.0283882","multiple North African","not stated","terrestrial","red fox, stone marten, Eurasian badger, common genet, Egyptian mongoose, European rabbit, Iberian hare, red-legged partridge","W4367042407","C_asserted_no_evidence",""
86,"Basiony, U., Rfaeii, Z. A. & Shogaa, A.","Usama Basiony; Zaki Abou Rfaeii; Asmaa Shogaa",2023,"The Impact of Airports Bird Hazard Management on Climate Changes and Bird-watching Tourism: Applying to Sharm El-Sheikh International Airport","Journal of Association of Arab Universities for Tourism and Hospitality","https://doi.org/10.21608/jaauth.2023.197185.1429","https://doi.org/10.21608/jaauth.2023.197185.1429","Egypt","other","not stated","pigeons and white storks","W4378554658","A_named_country_corroborated",""
87,"[Authors not resolved in OpenAlex]",,2023,"The Red Sea Fisheries - Threats and Proposed Solutions","AIN Journal","https://doi.org/10.59660/45115","https://doi.org/10.59660/45115","multiple North African","bycatch","marine","sea turtles","W4379795531","C_asserted_no_evidence",""
88,"keshta, H. N. Z. & Shahhat, M. A. A.","Hesham Nasrallh Zayed keshta; Mamdouh Awad Abdelrahman Shahhat",2023,"The Red Sea Fisheries - Threats and Proposed Solutions","AIN Journal","https://doi.org/10.59660/45125","https://doi.org/10.59660/45125","multiple North African","bycatch","marine","sea turtles","W4380050798","C_asserted_no_evidence",""
89,"Fellous‐Djardini, A., Yamaguchi, N., Hikmani, H. A., Haddane, B. & Black, S. A.","Amina Fellous‐Djardini; Nobuyuki Yamaguchi; Hadi Al Hikmani; B. Haddane; Simon A. Black",2023,"The natural history of lions in North Africa and the relevance of their depiction in the “Lions Attacking a Dromedary” diorama","Curator The Museum Journal","https://doi.org/10.1111/cura.12564","https://doi.org/10.1111/cura.12564","multiple North African","not stated","terrestrial",,"W4385290138","B_regional_corroborated",""
90,"Belkacem, Y., Soumani, K., Belhouchet, N. & Taouchechet, L.","Yasmina Belkacem; Karima Soumani; Nassima Belhouchet; Lahcène Taouchechet",2023,"The occurrence of the Chinese Sinanodonta woodiana (Lea, 1834) (Mollusca Bivalvia Unionidae) in Algerian dams","BIODIVERSITY JOURNAL","https://doi.org/10.31396/biodiv.jour.2023.14.2.385.390","https://doi.org/10.31396/biodiv.jour.2023.14.2.385.390","multiple North African","competition for resources","both","Sinanodonta woodiana","W4382645742","B_regional_corroborated",""
91,"Authors","Authors",2023,"Threats and Mitigation","Vulture News","https://doi.org/10.4314/vulnew.v83a1.6","https://doi.org/10.4314/vulnew.v83a1.6","multiple North African","not stated","not stated","not stated","W4390757936","C_asserted_no_evidence",""
92,"Saïdi, B., ENAJJAR, S. & Bradaï, M. N.","Béchir Saïdi; SAMIRA ENAJJAR; Mohamed Nejmeddine Bradaï",2023,"Vulnerability of elasmobranchs caught as bycatch in the grouper longline fishery in the Gulf of Gabès, Tunisia","Mediterranean Marine Science","https://doi.org/10.12681/mms.27483","https://doi.org/10.12681/mms.27483","Tunisia","bycatch","marine","not stated","W4365151733","A_named_country_corroborated",""
93,"[Authors not resolved in OpenAlex]",,2023,"Vulnerability of elasmobranchs caught as bycatch in the grouper longline fishery in the Gulf of Gabès, Tunisia","National Documentation Centre - EKT journals",,"292045994","Tunisia","bycatch","marine","not stated","292045994","A_named_country_corroborated",""
94,"Rabie, D., Farhi, K. & Chedad, A.","Djalila Rabie; Kamilia Farhi; Abdelwahab Chedad",2023,"What does the diet of the Common Starling (Sturnus vulgaris Linnaeus, 1758) in the Ziban Oasis (Algeria) indicate: pest or useful in agriculture?","Zoology and Ecology","https://doi.org/10.35513/21658005.2023.2.10","https://doi.org/10.35513/21658005.2023.2.10","Algeria","crop damage","terrestrial","Common Starlings","W4390354179","A_named_country_corroborated",""
95,"Báez, J. C., Camiñas, J. A., Aguilera, R., Castro‐Gutiérrez, J. & Real, R.","José Carlos Báez; Juan Antonio Camiñas; Raquel Aguilera; Jairo Castro‐Gutiérrez; Raimundo Real",2023,"When non-target wildlife species and alien species both affect negatively to an artisanal fishery: the case of trammel net in the Alboran Sea","Reviews in Fish Biology and Fisheries","https://doi.org/10.1007/s11160-023-09759-6","https://doi.org/10.1007/s11160-023-09759-6","multiple North African",,"marine","dolphin","W4321435198","C_asserted_no_evidence",""
96,"Alaoui, H. I., Asri, B. E., Ghazi, S., Brhadda, N. & Ziri, R.","Hassana Ismaili Alaoui; Bouchra El Asri; Souad Ghazi; Najiba Brhadda; Rabea Ziri",2022,"A Framework Payment for ecosystem services to reconstitute forest areas closed to grazing in the Ifrane National Park (Morocco).","IOP Conference Series Earth and Environmental Science","https://doi.org/10.1088/1755-1315/1090/1/012006","https://doi.org/10.1088/1755-1315/1090/1/012006","Morocco","not stated","terrestrial","not stated","W4306702031","A_named_country_corroborated",""
97,"al., M. G. D. e.","Mohammed G. Desouky et al.",2022,"Age, Growth and mortality of the rabbit fish Siganus rivulatus (Forsskål 1775) from the Egyptian Mediterranean coast off Alexandria, Egypt","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2022.264477","https://doi.org/10.21608/ejabf.2022.264477","Egypt","not stated","marine","rabbit fish","W4303646489","A_named_country_corroborated",""
98,"Abalo‐Morla, S. et al.","Sara Abalo‐Morla; Eduardo J. Belda; David March; Ohiana Revuelta; Luís Cardona; Silvia Giralt; José Luís Crespo-Picazo; Sandra Hochscheid; Adolfo Marco; Manuel Merchán; Ricardo Sagarminaga; Yonat Swimmer; Jesús Tomás",2022,"Assessing the use of marine protected areas by loggerhead sea turtles (Caretta caretta) tracked from the western Mediterranean","Global Ecology and Conservation","https://doi.org/10.1016/j.gecco.2022.e02196","https://doi.org/10.1016/j.gecco.2022.e02196","multiple North African","not stated","marine","loggerhead sea turtles","W4283067969","B_regional_corroborated",""
99,"Rizk, A., Ahmed, H. & El-Bakhshawngi, M.","Ahmed Rizk; H. Ahmed; M. El-Bakhshawngi",2022,"Damage of the Egyptian Fruit Bat (Rousettus aegyptiacus) at El-Dakhla Oasis, New-Valley Governorate, Egypt","Indian Journal of Agricultural Research","https://doi.org/10.18805/ijare.af-743","https://doi.org/10.18805/ijare.af-743","Egypt","crop damage","terrestrial","Egyptian fruit bat","W4307710763","A_named_country_corroborated",""
100,"Benras, H., Guezoul, O., Neffar, S. & Chenchouni, H.","Hafsa Benras; Omar Guezoul; Souad Neffar; Haroun Chenchouni",2022,"Disclosing the determinants, drivers and predictors of bird depredation on date palm (Phoenix dactylifera L.) production","Journal of the Saudi Society of Agricultural Sciences","https://doi.org/10.1016/j.jssas.2022.12.003","https://doi.org/10.1016/j.jssas.2022.12.003","multiple North African","crop damage","terrestrial","sparrows","W4312158089","C_asserted_no_evidence",""
101,"[Authors not resolved in OpenAlex]",,2022,"Guidelines for the management of cetacean watching activities in the ACCOBAMS area",,"https://doi.org/10.70978/cggi7445","https://doi.org/10.70978/cggi7445","multiple North African","not stated","marine","whale","W4406349403","C_asserted_no_evidence",""
102,"al., K. M. E. e.","Khaled M. El-Haddad et al.",2022,"Herbivorous Reef Fishes of South Sinai Marine Protected Areas (Gulf of Aqaba, Egypt): Influence of Fisheries Management and Protection Status","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2022.264541","https://doi.org/10.21608/ejabf.2022.264541","Egypt","not stated","marine","not stated","W4303646466","A_named_country_corroborated",""
103,"Gauld, J. et al.","Jethro Gauld; João Paulo Silva; Philip W. Atkinson; Paul Record; Marta Acácio; Volen Arkumarev; Julio Blas; Willem Bouten; Niall H. K. Burton; Inês Catry; Jocelyn Champagnon; Gary D. Clewley; Mindaugas Dagys; Olivier Duriez; Klaus‐Michael Exo; Wolfgang Fiedler; Andrea Flack; Guilad Friedemann; Johannes Fritz; Clara García‐Ripollés; Stefan Garthe; Dimitri Giunchi; Atanas Grozdanov; Roi Harel; Elizabeth M. Humphreys; René Janssen; Andrea Kölzsch; Olga Kulikova; Thomas K. Lameris; Pascual López‐López; Elizabeth A. Masden; Flavio Monti; Ran Nathan; Stoyan C. Nikolov; Steffen Oppel; Hristo Peshev; W. Louis Phipps; Ivan Pokrovsky; Viola Ross-Smith; Victoria Saravia; Emily S. Scragg; Andrea Sforzi; Emilian Stoynov; Chris B. Thaxter; Wouter Van Steelant; Mariëlle L. van Toor; Bernd Vorneweg; Jonas Waldenström; Martin Wikelski; Ramūnas Žydelis; Aldina M. A. Franco",2022,"Hotspots in the grid: Avian sensitivity and vulnerability to collision risk from energy infrastructure interactions in Europe and North Africa","Journal of Applied Ecology","https://doi.org/10.1111/1365-2664.14160","https://doi.org/10.1111/1365-2664.14160","multiple North African","not stated","not stated","Lesser Black-backed Gull","W4223523542","B_regional_corroborated",""
104,"Deniau, C.","Christophe Deniau",2022,"Human - Waterbird interactions : Uses of waterbird populations by local communities in major Sahelo-Saharan wetlands : towards sustainable management?","theses.fr (ABES)",,"https://openalex.org/W4393365762","multiple North African",,,"waterbirds","W4393365762","C_asserted_no_evidence",""
105,"Calzada, J., Clavero, M., Delibes, M. & Fernández, N.","Javier Calzada; Miguel Clavero; Miguel Delibes; Néstor Fernández",2022,"Human pressures constrain Eurasian otter occurrence in semiarid Northern Africa","Biodiversity and Conservation","https://doi.org/10.1007/s10531-022-02405-w","https://doi.org/10.1007/s10531-022-02405-w","multiple North African","not stated","both","otter","W4220771849","B_regional_corroborated",""
106,"Barron, E. et al.","Elizabeth Barron; Ram Prasad Chaudhary; Sónia Maria Carvalho Ribeiro; Eric Gilman; Jaqueline Hess; Ray Hilborn; Esther Katz; Ritah Kigonya; Hicham Masski; Laura Isabel Mesa Castellanos; Penelope J. Mograbi; Prateep Kumar Nayak; Helder Lima de Queiroz; Anna Sidorovich; Renato Azevedo Matias Silvano; Yan Zeng; Chabi Djagoun; Marie-Claire Danner",2022,"IPBES Sustainable Use of Wild Species Assessment - Chapter 3. Status of and trends in the use of wild species and its implications for wild species, the environment and people","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.7157829","https://doi.org/10.5281/zenodo.7157829","multiple North African","not stated","not stated","not stated","W4303457477","C_asserted_no_evidence",""
107,"Balachander, G. et al.","Ganesan Balachander; Marwa Waseem A. Halmy; Brenda Parlee; Duan Biggs; Murali Chatakonda; Andrés M. Cisneros‐Montemayor; Marie-Christine Cormier-Salem; Rajarshi Dasgupta; Shiva Devkota; Janaí­na Deane de Abreu Sá Diniz; Aisha Elfaki; Lisa Hiwasaki; Gabriela Lichtenstein; Andries Richter; Manzoor A. Shah; Patrícia Shanley; Uttam Babu Shrestha; Tien Ming Lee; Bayarbaatar Buuveibaatar; Daniel Kieling",2022,"IPBES Sustainable Use of Wild Species Assessment - Chapter 4. The drivers of the sustainable use of wild species","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.7346780","https://doi.org/10.5281/zenodo.7346780","multiple North African","not stated","not stated","not stated","W4309601661","C_asserted_no_evidence",""
108,"Balachander, G. et al.","Ganesan Balachander; Marwa Waseem A. Halmy; Brenda Parlee; Duan Biggs; Murali Chatakonda; Andrés M. Cisneros‐Montemayor; Marie-Christine Cormier-Salem; Rajarshi Dasgupta; Shiva Devkota; Janaí­na Deane de Abreu Sá Diniz; Aisha Elfaki; Lisa Hiwasaki; Gabriela Lichtenstein; Andries Richter; Manzoor A. Shah; Patrícia Shanley; Uttam Babu Shrestha; Tien Ming Lee; Bayarbaatar Buuveibaatar; Daniel Kieling",2022,"IPBES Sustainable Use of Wild Species Assessment - Chapter 4. The drivers of the sustainable use of wild species","Zenodo (CERN European Organization for Nuclear Research)","https://doi.org/10.5281/zenodo.7695770","https://doi.org/10.5281/zenodo.7695770","multiple North African","not stated","not stated","not stated","W4323066251","C_asserted_no_evidence",""
109,"Hamada, A., El-Gebaly, O., Khayat, M. E. & Riad, S.","Ayman Hamada; Osama El-Gebaly; Mohamed El Khayat; Saber Riad",2022,"Impact of a Wind Energy Projects on Bird Migration Gabel Al-Zeit - Eastern Desert, Egypt","Catrina The International Journal of Environmental Sciences","https://doi.org/10.21608/cat.2022.147050.1134","https://doi.org/10.21608/cat.2022.147050.1134","Egypt","other","terrestrial","migratory soaring birds","W4292236166","A_named_country_corroborated",""
110,"Kaddouri, A.","Abdelhamid Kaddouri",2022,"Impact of the Bottlenose Dolphins (Tursiops truncatus) Depredation on Purse-Seine Fishery in the Region of M’diq (Northwestern Morocco)","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2022.271078","https://doi.org/10.21608/ejabf.2022.271078","Morocco","other","marine","Bottlenose Dolphins","W4310824678","A_named_country_corroborated",""
111,"Elsawy, M. S., Mohafez, M. & Danasory, M. A. E.","Mahmoud Saad Elsawy; M. Mohafez; M. A. El- Danasory",2022,"Losses of tomato crop by wild birds in El-Beheira and Matrouh governorates, Egypt","Al-Azhar Journal of Agricultural Research","https://doi.org/10.21608/ajar.2022.255498","https://doi.org/10.21608/ajar.2022.255498","multiple North African","crop damage","terrestrial","hooded crow, house sparrow","W4294096698","B_regional_corroborated",""
112,"Kirchhoff, M. et al.","Mario Kirchhoff; Irene Marzolff; Robin Stephan; Manuel Seeger; Ali Aït Hssaïne; Johannes B. Ries",2022,"Monitoring dryland trees with remote sensing. Part B: Combining tree cover and plant architecture data to assess degradation and recovery of Argania spinosa woodlands of South Morocco","Frontiers in Environmental Science","https://doi.org/10.3389/fenvs.2022.896703","https://doi.org/10.3389/fenvs.2022.896703","Morocco","not stated","both","Argania spinosa","W4303021564","A_named_country_corroborated",""
113,"Keznine, M.","Mohamed Keznine",2022,"Preliminary data on bycatch and stranding of marine turtles in Al Hoceima, Morocco","Egyptian Journal of Aquatic Biology and Fisheries","https://doi.org/10.21608/ejabf.2022.228714","https://doi.org/10.21608/ejabf.2022.228714","multiple North African","bycatch","marine","turtles","W4224103651","B_regional_corroborated",""
114,"Lorenzo, M. D. et al.","Manfredi Di Lorenzo; Antonio Calò; Antonio Franco; Giacomo Milisenda; Giorgio Aglieri; Carlo Cattano; Marco Milazzo; Paolo Guidetti",2022,"Small-scale fisheries catch more threatened elasmobranchs inside partially protected areas than in unprotected areas","Nature Communications","https://doi.org/10.1038/s41467-022-32035-3","https://doi.org/10.1038/s41467-022-32035-3","multiple North African","not stated","marine","not stated","W4290786637","C_asserted_no_evidence",""
